path,width,height,mode,alpha_expected
assets/ui_assets/campaign/world_map/party_beach.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/route_line.png,520,36,RGBA,True
assets/ui_assets/campaign/world_map/route_marker.png,320,180,RGBA,True
assets/ui_assets/campaign/world_map/route_marker_complete.png,320,180,RGBA,True
assets/ui_assets/campaign/world_map/route_marker_current.png,320,180,RGBA,True
assets/ui_assets/campaign/world_map/sunny_cove.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/sunset_island.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/tiki_island.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/volcano_bay.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/world_clouds_back.png,320,180,RGBA,True
assets/ui_assets/campaign/world_map/world_clouds_front.png,320,180,RGBA,True
assets/ui_assets/campaign/world_map/world_map_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/world_map/world_map_boat.png,320,180,RGBA,True
assets/ui_assets/campaign/world_map/world_map_compass.png,320,180,RGBA,True
assets/ui_assets/campaign/world_map/world_map_title_panel.png,500,120,RGBA,True
assets/ui_assets/CONTACT_SHEET_GLOBAL.png,970,590,RGBA,True
assets/ui_assets/CONTACT_SHEET_ISLANDS.png,1208,630,RGBA,True
assets/ui_assets/CONTACT_SHEET_MAJOR_SCREENS.png,970,690,RGBA,True
assets/ui_assets/CONTACT_SHEET_SCREENS.png,970,1026,RGBA,True
assets/ui_assets/CONTACT_SHEET_SEMANTIC_ICONS.png,1026,1098,RGBA,True
assets/ui_assets/CONTACT_SHEET_TABLES.png,1208,1296,RGBA,True
assets/ui_assets/effects/combo_badge.png,128,128,RGBA,True
assets/ui_assets/effects/combo_glow.png,220,160,RGBA,True
assets/ui_assets/effects/confetti_strip.png,220,160,RGBA,True
assets/ui_assets/effects/merge_flash.png,220,160,RGBA,True
assets/ui_assets/effects/merge_ring.png,220,160,RGBA,True
assets/ui_assets/effects/milestone_glow.png,220,160,RGBA,True
assets/ui_assets/effects/order_complete_flash.png,220,160,RGBA,True
assets/ui_assets/effects/score_pop_bg.png,220,160,RGBA,True
assets/ui_assets/effects/sparkle_large.png,220,160,RGBA,True
assets/ui_assets/effects/sparkle_small.png,220,160,RGBA,True
assets/ui_assets/effects/timer_warning_glow.png,220,160,RGBA,True
assets/ui_assets/effects/to_go_trail_variant.png,220,160,RGBA,True
assets/ui_assets/effects/vip_complete_flash.png,220,160,RGBA,True
assets/ui_assets/effects/win_rays.png,220,160,RGBA,True
assets/ui_assets/screens/daily_reward/button_claim.png,360,104,RGBA,True
assets/ui_assets/screens/daily_reward/daily_chest.png,128,128,RGBA,True
assets/ui_assets/screens/daily_reward/daily_day_claimed.png,220,160,RGBA,True
assets/ui_assets/screens/daily_reward/daily_day_current.png,220,160,RGBA,True
assets/ui_assets/screens/daily_reward/daily_day_locked.png,220,160,RGBA,True
assets/ui_assets/screens/daily_reward/daily_day_slot.png,440,190,RGBA,True
assets/ui_assets/screens/daily_reward/daily_reward_background.png,720,1280,RGBA,True
assets/ui_assets/screens/daily_reward/daily_reward_panel.png,440,190,RGBA,True
assets/ui_assets/screens/daily_reward/streak_badge.png,128,128,RGBA,True
assets/ui_assets/screens/main_menu/coin_counter_panel.png,440,190,RGBA,True
assets/ui_assets/screens/main_menu/gem_counter_panel.png,440,190,RGBA,True
assets/ui_assets/screens/main_menu/main_menu_background.png,720,1280,RGBA,True
assets/ui_assets/screens/main_menu/main_menu_daily_button.png,360,104,RGBA,True
assets/ui_assets/screens/main_menu/main_menu_decor_left.png,300,380,RGBA,True
assets/ui_assets/screens/main_menu/main_menu_decor_right.png,300,380,RGBA,True
assets/ui_assets/screens/main_menu/main_menu_logo_frame.png,440,190,RGBA,True
